text,label,nb_label
Apple ID: Someone logged in from Cebu. Secure account: bit.ly/secure-ph-770745,Phishing,Spam
Withdraw your winnings in 2 mins! Join 777CASINO now and get 173 free: bit.ly/secure-ph-808521,Gambling,Spam
"Hi,May libreng 77 ka kapag nag-download ka ng APP! I-click na dito para simulan: mar-t.eu/gzxw !",General Spam,Spam
MA'AM/SIR! AUB iAccess needs validation due to suspicious activity: bit.ly/secure-ph-770477,Bank Scam,Spam
BREAKING: GOMO Roam has landed in over 160 destinations! Enjoy 3 days of roaming data that's out of this world for just P399. Don't miss this cosmic opportunity and try GOMO Roam on your next trip! No advisories? Text OFF to 2686 for free.,Ham,Ham
Thanx 4 e brownie it's v nice...,Ham,Ham
"Lamang ka sa susunod mong load up, DALI! Subscribe to ALL DATA+ or any promo at least P30 to get EXTRA 2 GB for 3 days FREE! Load na sa https://smrt.ph/GetSmartApp o i-dial ang *123# NOW NA!",Ham,Ham
"C0NGRATS! Napili ur # for P300k from Smart GigaLife. To claim, call Atty. Gomez 09789521438.",Phishing,Spam
hindi nagana yung program na ginawa ko,Ham,Ham
Looking for extra income? Remote Staff needs 50 people for remote work. Register: bit.ly/secure-ph-724409,Gambling,Spam
Looking for side hustle? Watch videos & earn P800-P2000. Join: wa.me/639476120353,General Spam,Spam
"918380 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW",Ham,Ham
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,General Spam,Spam
BPI-Online: We updated our terms. Please accept to continue using app: bpi-terms-update.ph,Bank Scam,Spam
"C0NGRATS! Napili ur # for P800k from Puregold. To claim, call Atty. Gomez 09744222781.",Phishing,Spam
C0ngratulat1on https://th676.xyz 1kaw @ng masuwerteng nanal0 m@g s1gn up at kun1n @ng P 1999 ngay0n,General Spam,Spam
Money i have won wining number 946 wot do i do next,General Spam,Spam
"casinoph.tv/8g5bnA Sumali na at mag-enjoy sa libreng deposito. Mas mataas na tsansa, mas malaking panalo!",Gambling,Spam
"Hi, I'm recruiter for Lazada. Your profile is selected for 2k-5k pay. Info: bit.ly/secure-ph-597678",General Spam,Spam
Daily Bible verse: Drink plenty of water. Reply STOP to cancel subscription.,General Spam,Spam
FLASH-TRACK: Your parcel is arriving. Check live status: flash-live-track.net,General Spam,Spam
Gcash Alert! Please be advised that we are asking everyone to update their account to avoid deactivation. Update here: gcashmobile-kycupgrade.digital,Bank Scam,Spam
"DO YOU RECEIVED MY SMS MY DEAR,LET ME KNOW IN sophiavillanueva51@hotmail.com IT'S URGENT.",General Spam,Spam
Verify your EastWest mobile number to avoid account deletion. Update here: bit.ly/secure-ph-825851,Bank Scam,Spam
"Yasss, eto ang FREEBONUS P5,000 para lang sayo! Mag-login sa http://pisogo.beauty/MpQ para makuha ito!",Gambling,Spam
"For extra boost, you can borrow 100MB valid for 1 day, P6 only. Text MBSOS to 3733, or dial *143# and choose LOANS. Payment is on your next load top-up. Starting March 5, 2026, for select customers with unpaid loan, part of your next data promo may be used to help pay your Globe Promo/Load loan.",Ham,Ham
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,General Spam,Spam
Verify your RCBC mobile number to keep using app: bit.ly/ph-54511,Bank Scam,Spam
Tell Mom I'll call her as soon as I get home.,Ham,Ham
PNB: Ur account is unauthorized login. Pls verify identity now d2: bit.ly/secure-ph-309675,Bank Scam,Spam
Congratulations! Your mobile number has scored a thrilling P2000 prize! Claim your reward at: https://bit.ly/3ArmDsn,Phishing,Spam
